ip,country_name,city,latitude,longitude
165.70.141.165,United States,Dallas,32.86051,-96.90010
93.215.167.191,Germany,Darmstadt,49.86571,8.62604
197.177.61.197,Kenya,Nairobi,-1.28222,36.87931
206.236.177.182,United States,Washington,38.89705,-77.00711
5.77.63.24,United Kingdom,Leeds,53.74717,-1.60168
158.227.31.151,Spain,,42.84227,-2.68359
82.233.65.66,France,Bordeaux,44.83779,-0.57918
63.123.244.194,United States,Princeton,40.32324,-74.63947
